price,sqft_living,bedrooms,floors,zipcode
313000,1340,3,1.5,98133
435000,1840,5,1,98133
2384000,3650,5,2,98119
740000,2010,4,1.5,98119
342000,1930,3,1,98042
490000,880,2,1,98115
420000,2000,3,1,98008
550000,1940,4,1,98052
335000,1350,2,1,98052
482000,2710,4,2,98038
452500,2430,3,1,98045
640000,1520,4,1.5,98115
463000,1710,3,1,98155
1400000,2920,4,1.5,98105
588500,2330,3,1,98074
365000,1090,3,1,98106
1200000,2910,5,1.5,98105
242500,1200,3,1,98042
419000,1570,3,1,98007
367500,3110,4,2,98092
257950,1370,3,1,98198
275000,1180,3,1,98045
750000,2240,3,2,98115
435000,1450,4,1,98006
626000,1750,3,2.5,98102
612500,2730,4,2,98011
495000,1600,4,1,98125
285000,2090,3,1,98003
615000,2360,3,1,98136
698000,2200,4,1.5,98033
675000,2820,5,2,98029
790000,2600,3,1,98117
382500,1560,4,1,98034
499950,2860,4,2,98072
650000,1820,4,1.5,98115
625000,2820,4,2,98155
400000,3630,4,1.5,98092
604000,3240,3,2,98023
440000,800,2,1,98107
287200,1850,3,1,98038
403000,1960,3,1,98166
750000,2390,3,1,98116
335000,1580,3,1,98024
260000,1480,4,1,98055
308500,850,2,1,98155
439950,1770,3,2,98116
235000,1210,2,1,98106
315000,1160,3,1,98077
437500,1970,3,2,98027
407500,1930,3,2,98059
445700,1270,3,3,98107
838000,3310,4,2,98052
630000,2710,4,2,98027
550000,2910,3,1.5,98075
805000,2710,3,1.5,98115
284000,1800,3,1,98014
470000,2210,5,1,98011
430000,1920,4,1,98006
491500,2190,4,1,98092
785000,3660,5,2,98065
385000,1320,3,2,98199
295000,1630,2,2,98106
555000,3310,4,2,98065
459990,2680,3,2,98045
625000,2730,4,1,98059
300000,2540,3,2,98042
625000,2920,4,2,98059
553000,900,2,1,98117
379880,1650,3,1,98027
310000,1010,3,1,98065
775000,2680,2,1,98053
365000,2200,3,1,98058
331950,2530,4,2,98092
783500,2850,3,2,98122
628000,2280,4,1,98122
560000,1900,3,2,98074
900000,1330,3,1,98033
531000,1270,2,2,98103
831000,2170,4,2,98112
780000,2730,4,2,98074
755000,2120,4,1,98005
705380,2490,3,2,98029
627000,1990,4,1,98027
865000,3690,4,2,98075
580000,2540,2,1,98118
410000,1800,3,1,98027
485000,2340,4,1,98034
400000,2110,2,1,98155
549000,1140,2,1,98112
620000,1480,3,2.5,98033
405000,1410,2,2,98136
232000,1200,2,1,98198
800866,3180,5,2,98033
650000,2160,3,1,98177
823000,2920,6,2.5,98122
770000,2350,3,1.5,98112
524000,1560,3,1,98199
541125,2740,5,1,98006
670000,1680,3,3,98105
384900,3090,5,1,98023
406100,1410,3,3,98103
1395000,4010,5,2,98105
736500,3180,4,2,98059
570000,2010,3,1,98052
787000,1330,3,1,98004
328000,2370,4,2,98092
499000,2910,4,2,98065
501000,2070,4,1,98008
1090000,4340,4,2.5,98053
400000,840,2,1,98136
220000,1240,4,1,98023
657100,1390,4,1,98103
309950,2310,4,2,98038
300000,1050,3,1,98019
525888,2550,5,1,98027
340000,1120,5,1.5,98034
398750,2230,3,2,98144
206000,810,2,1,98168
1030000,3190,5,1,98006
600000,1670,3,1,98075
379950,1970,4,1,98133
287000,1450,3,1,98118
2280000,13540,7,3,98053
309950,1880,3,2,98055
600000,1880,3,1,98115
418000,1410,3,1.5,98103
449250,1480,4,1.5,98133
329950,1140,2,1.5,98133
245000,1920,3,1,98001
549000,2910,4,2,98059
800000,3240,3,2,98075
249950,1550,3,1,98059
210000,2050,5,1,98198
1425000,2220,2,2,98112
585000,1770,2,1.5,98117
615000,2300,4,1,98052
618500,1800,3,1,98115
487585,2010,4,1,98034
509900,1790,3,2,98027
631625,2440,4,2,98117
555000,1940,3,2,98027
340000,1160,2,2,98144
830000,3400,4,2,98052
890000,4420,4,2,98027
366750,1571,3,3,98125
415000,1620,3,2.5,98029
416286,1408,3,3,98115
478000,3040,3,2,98056
890000,4490,5,2,98027
419190,1590,2,2,98029
712198,2450,4,2,98052
397000,1440,4,1,98034
450000,1100,2,1.5,98117
353000,1350,3,1,98125
609000,2150,4,2,98052
234000,1490,3,1,98042
561000,2000,3,2,98136
469000,1030,2,1,98117
329350,720,2,1,98117
488000,2020,5,1.5,98117
279900,1580,3,1,98198
606000,2110,4,2,98027
312000,1300,4,1,98146
650000,1630,3,1,98115
1135000,3370,4,1,98136
325000,1890,4,1,98106
425000,1520,4,1,98034
219000,900,2,1,98106
250000,1050,3,1,98133
390000,1260,3,1,98008
475000,3470,6,1.5,98028
736000,2290,4,2,98006
407000,2810,4,1,98198
272000,1650,3,2,98014
362000,1640,3,1,98148
535000,1850,3,2,98034
284000,2000,4,2,98042
367500,1410,3,1,98177
379900,1500,4,1,98028
520000,2460,3,2,98059
175000,1010,3,1,98057
460000,1230,2,2,98112
345000,2331,4,2,98058
455000,2240,5,1,98034
610000,2450,4,1,98006
563000,3100,4,2,98028
612500,2060,4,1,98117
218000,1850,3,1,98023
404000,1840,4,1,98008
860000,3740,4,2,98053
136500,1420,3,1,98023
313950,1510,3,1,98115
575000,2130,3,1,98199
1225000,3490,4,2,98199
280000,1630,3,1,98045
515000,1790,3,2,98074
513000,2000,4,2,98028
599000,2260,4,2,98006
685000,3030,4,2,98074
365000,1310,3,1,98133
762300,3880,4,2,98074
1580000,3760,4,1.5,98105
562000,3040,5,2,98052
530000,2910,5,1,98008
525000,2970,3,1,98074
484000,1660,2,1,98105
725126,3200,4,2,98059
360000,2680,4,1,98001
387000,1230,3,1,98056
483500,2740,4,2,98077
655500,3380,4,2,98177
345000,1110,3,1,98115
533000,1800,5,1.5,98103
