StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Room,Open Door,Social Competence,Identifies Humans,Iden Individual,Iden Groups,Recognize Behavior,Adapts Behavior,Predicts Behavior,Recognize Cognition,Adapts Cognition,Predict Cognition,Recognize Emotion,Adapt Emotion,Predict Emotion,Friendly,Helpful1,Helpful2,Caring1,Caring2,Trustworthy1,Trustworthy2,Rude1,Rude2,Conceited,Hostile1,Free1,Free2,Free3,FreeRobot
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,At the second stop where did you place the package?,Did you open the Emergency exit door?,Social Information Processing,Social Information Processing,Social Information Processing,Social Information Processing,Social Information Processing,Social Information Processing,Social Information Processing,Social Information Processing,Social Information processing,Social Information Processing,Social Information Processing,Social Information Processing,Social Information Processing,Social Presentation,Social Presentation,Social Presentation,Social Presentation,Social Presentation,Social Presentation,Social Presentation,Social Presentation,Social Presentation,Social Presentation,Social Presentation,What were your thoughts about the first package delivery?,What were your thoughts about the second package delivery?,What were your thoughts about the third package delivery?,What were your thoughts about the robot?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID28""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}"
2022-04-19 09:36:39,2022-04-19 09:38:52,0,134.197.0.150,100,133,1,2022-04-19 09:38:53,R_XGHhQ6kqV8F7Tt7,,,,,39.5473,-119.7951,qr,EN,,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,3,4,1,1,4,3,2,1,1,1,I thought it took awhile to realize the package was gone,I thought it was weird we were in an office,I hoped we werent supposed to go through the door,Impressive!
2022-04-20 18:00:41,2022-04-20 18:04:10,0,134.197.0.22,100,209,1,2022-04-20 18:04:11,R_1liVt4qzhyiwFhA,,,,,39.5473,-119.7951,qr,EN,,2,3,4,2,2,4,3,4,3,4,3,1,3,2,2,4,4,3,3,5,4,4,1,3,1,"Nothing really ",It didn’t notice me walking in front of it as the signal but did notice my hand. Impressive,It took it a minute to understand my hand,"It’s adorable "
2022-04-20 18:13:17,2022-04-20 18:17:15,0,174.208.162.18,100,238,1,2022-04-20 18:17:16,R_1rjBQDp7HkfTMXo,,,,,37.778,-121.2316,qr,EN,,2,3,5,3,3,4,5,3,3,3,3,3,3,3,3,4,4,3,3,3,3,1,1,1,1,I thought it went pretty smooth,Also smooth,The robot seemed a bit unsure at the door,"Adorable, awesome, amazing"
2022-04-20 18:28:12,2022-04-20 18:33:09,0,134.197.0.149,100,296,1,2022-04-20 18:33:09,R_1mVoENcyx2mQoga,,,,,39.5473,-119.7951,qr,EN,,2,5,5,5,3,5,5,3,3,5,3,3,3,3,3,4,3,2,2,3,2,2,2,2,2,Easy,Easy,Did not know whether to open emergency door,"It was cool "
2022-04-20 18:50:56,2022-04-20 19:01:40,0,134.197.0.148,100,644,1,2022-04-20 19:01:41,R_1Eg1OGCdibJ5czo,,,,,39.5473,-119.7951,qr,EN,,2,5,5,4,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,"The first deliver was alright, there wasnt many people walking near it so it went on its course pretty quickly. ",The second delivery had more people walk by the robot and it was pretty quick to stop so it was not in the way of the person walking,Third delivery was pretty easy since it was right down the hall from the second,"I think the robot is pretty cool, and definitely works well driving around the tables and hall of the @one. "
2022-04-21 10:17:03,2022-04-21 10:22:04,0,134.197.0.22,100,300,1,2022-04-21 10:22:04,R_2qwMPHgqV0rD9cR,,,,,39.5381,-119.8365,qr,EN,,2,4,5,3,1,5,5,3,1,1,1,1,1,1,3,4,4,1,1,4,1,1,1,1,1,It went to where it needed to and waited for me to give it the go ahead,It went straight to where it needed to,"It paused at the door, and i wasn't sure if i was supposed to open or not. But then he just turned around when I put my hand in front of it",It was cute! Seemed like it waited for direction though I can't be sure
2022-04-21 10:53:44,2022-04-21 11:08:59,0,134.197.0.21,100,915,1,2022-04-21 11:09:00,R_2AGbVE8bOxi4DTH,,,,,39.5381,-119.8365,qr,EN,1,2,4,3,3,1,2,4,4,2,1,1,1,1,1,2,4,5,1,1,4,4,1,1,1,1,It responded well and delivered the package to the right location.,Went to the right location but was unsure whether to place the package in front of the door or on the table in the room.,Robot went to the door but I was unsure of whether to let it through or deliver the package in front of the door.,"Very aware of its surroundings, responded quickly when I waved my my hand in front of the censor, and was clear with its signals. "
2022-04-21 11:18:39,2022-04-21 11:23:11,0,134.197.0.150,100,271,1,2022-04-21 11:23:11,R_XO3eyLtiSBlCm4N,,,,,39.5473,-119.7951,qr,EN,2,2,2,4,5,3,3,4,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,"It did stop for a long time ","Also stopped for a long time ","Stopped for a very long time and had 4 way points ",I thought it was cool
